question,answer,prediction,precision,recall,f1,hash
妮露什么性别,妮露是女性,妮露是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问辛焱女士来自哪里?",辛焱来自璃月,"辛焱来自璃月
辛焱来自璃月",0.8253868818283081,0.849582314491272,0.8373098373413086,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
优菈女士掌握哪种元素力?,冰元素,"优菈,冰元素",0.7329245209693909,0.9064151048660278,0.8104895949363708,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
班尼特先生的元素是什么?,火元素,"班尼特,班尼特元素",0.5901882648468018,0.7384580969810486,0.6560500860214233,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
北斗女士是什么身份?,北斗是「南十字」的首领,北斗是「南十字」的首领,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
琴女士是什么性别？,琴是女性,琴是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
诺艾尔女士是做什么工作的?,诺艾尔是西风骑士团见习骑士，女仆,诺艾尔是西风骑士团见习骑士，女仆,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫人先生掌握哪种元素力?,水元素,神里绫人，火元素,0.5994792580604553,0.7416154742240906,0.6630151867866516,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问罗莎莉亚的性别是什么？,罗莎莉亚是女性,罗莎莉亚是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
艾尔海森什么性格?,喜欢保持低调，自由自在地做自己想做的事情。,"艾尔海森,喜欢保持低调，自由自在地做自己想做的事情。",0.8938644528388977,0.9779437780380249,0.9340157508850098,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问胡桃女士有什么性格特点呢?","胡桃,贪玩孩子，但在葬礼上严肃。","胡桃,贪玩孩子，但在葬礼上严肃。",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
那维莱特什么性格?,绝对公正，孤独,"那维莱特,深知自己的不 worth，渴望证明自己",0.5469735860824585,0.6053495407104492,0.574682891368866,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"琳妮特女士,她是什么性别？",琳妮特是女性,琳妮特是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
枫原万叶先生的职业是什么?,枫原万叶是南十字船队的见习水手,枫原万叶是南十字船队的见习水手,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
重云什么元素?,冰元素,重云，炼丹术士,0.5501783490180969,0.553715705871582,0.5519413352012634,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
